PID, BUS, Root, BusTime, QueueTime
[people-18, bus-Bus_0, BusStop_2->BusStop_3, 8, 0]
[people-8, bus-Bus_3, BusStop_4->BusStop_3, 5, 3]
[people-9, bus-Bus_3, BusStop_4->BusStop_3, 5, 3]
[people-48, bus-Bus_3, BusStop_4->BusStop_3, 5, 1]
[people-49, bus-Bus_3, BusStop_4->BusStop_3, 5, 1]
[people-75, bus-Bus_3, BusStop_4->BusStop_3, 5, 0]
[people-15, bus-Bus_0, BusStop_2->BusStop_4, 12, 0]
[people-31, bus-Bus_0, BusStop_3->BusStop_4, 4, 7]
[people-32, bus-Bus_0, BusStop_3->BusStop_4, 4, 7]
[people-3, bus-Bus_1, BusStop_0->BusStop_4, 12, 0]
[people-5, bus-Bus_1, BusStop_0->BusStop_4, 12, 0]
[people-66, bus-Bus_1, BusStop_1->BusStop_4, 4, 6]
[people-67, bus-Bus_1, BusStop_1->BusStop_4, 4, 6]
[people-55, bus-Bus_2, BusStop_3->BusStop_4, 4, 6]
[people-96, bus-Bus_3, BusStop_3->BusStop_4, 4, 4]
[people-97, bus-Bus_3, BusStop_3->BusStop_4, 4, 4]
[people-99, bus-Bus_3, BusStop_3->BusStop_4, 4, 4]
[people-100, bus-Bus_3, BusStop_3->BusStop_4, 4, 4]
[people-11, bus-Bus_0, BusStop_3->BusStop_2, 8, 8]
[people-14, bus-Bus_0, BusStop_3->BusStop_2, 8, 8]
[people-39, bus-Bus_1, BusStop_1->BusStop_0, 8, 7]
[people-7, bus-Bus_1, BusStop_4->BusStop_0, 4, 12]
[people-30, bus-Bus_1, BusStop_4->BusStop_0, 4, 11]
[people-47, bus-Bus_1, BusStop_4->BusStop_0, 4, 10]
[people-33, bus-Bus_2, BusStop_3->BusStop_2, 8, 7]
[people-35, bus-Bus_2, BusStop_3->BusStop_2, 8, 7]
[people-36, bus-Bus_2, BusStop_3->BusStop_2, 8, 7]
[people-53, bus-Bus_2, BusStop_3->BusStop_2, 8, 6]
[people-56, bus-Bus_2, BusStop_3->BusStop_2, 8, 6]
[people-76, bus-Bus_2, BusStop_3->BusStop_2, 8, 5]
[people-1, bus-Bus_1-Bus_2, BusStop_0->BusStop_4->BusStop_2, 16, 0]
[people-4, bus-Bus_1-Bus_2, BusStop_0->BusStop_4->BusStop_2, 16, 0]
[people-40, bus-Bus_1-Bus_2, BusStop_1->BusStop_4->BusStop_2, 8, 7]
[people-6, bus-Bus_3, BusStop_4->BusStop_2, 13, 3]
